iso,H2,H1,AX,L1,L2,CDD
Ar40,5.7861921413793063,5.8938778413793065,6.0050354413793059,6.1218683913793059,6.2433939413793063,6.3551172413793058
Ar39,5.8952137583793061,5.7865602413793065,5.8952137583793061,5.8952137583793061,5.8952137583793061,5.8952137583793061
Ar36,5.5590127583793061,5.454486241379306, 5.5590127583793061,5.5590127583793061,5.5590127583793061,5.5590127583793061
