40,0.0175
-0.1368,0.3971
-0.0729,0.4136
-0.0073,0.4199
0.0585,0.4159
0.1228,0.4016
0.1841,0.3775
-59.0564,3397.4868
0.2918,0.3021
0.3354,0.2528
0.3708,0.1972
0.3971,0.1368
0.4136,0.0729
0.4199,0.0073
0.4159,-0.0585
0.4016,-0.1228
0.3775,-0.1841
0.3441,-0.2409
0.3021,-0.2918
0.2528,-0.3354
0.1972,-0.3708
0.1368,-0.3971
0.0729,-0.4136
0.0073,-0.4199
-0.0585,-0.4159
-0.1228,-0.4016
-0.1841,-0.3775
-0.2409,-0.3441
-0.2918,-0.3021
-0.3354,-0.2528
-0.3708,-0.1972
-0.3971,-0.1368
-0.4136,-0.0729
-0.4199,-0.0073
-0.4159,0.0585
-0.4016,0.1228
-0.3775,0.1841
-0.3441,0.2409
-0.3021,0.2918
-0.2528,0.3354
-0.1972,0.3708
-0.0057,0.3275
0.2275,0.2356
0.3275,0.0057
0.2356,-0.2275
0.0057,-0.3275
-0.2275,-0.2356
-0.3275,-0.0057
-0.2356,0.2275
-0.0046,0.2650
0.1841,0.1906
0.2650,0.0046
0.1906,-0.1841
0.0046,-0.2650
-0.1841,-0.1906
-0.2650,-0.0046
-0.1906,0.1841
-0.0035,0.2025
0.1407,0.1457
0.2025,0.0035
0.1457,-0.1407
0.0035,-0.2025
-0.1407,-0.1457
-0.2025,-0.0035
-0.1457,0.1407
-0.0024,0.1400
0.0973,0.1007
-0.1400,-0.0024
0.1007,-0.0973
0.0024,-0.1400
-0.0973,-0.1007
-0.1400,-0.0024
-0.1007,0.0973
